N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
255;225;RS_GF_256;4,372 / 6,272 ( 70 % );26 / 92 ( 28 % );2103;6,128 / 276,480 ( 2 % );94.26
255;224;RS_GF_256;4,388 / 6,272 ( 70 % );26 / 92 ( 28 % );2135;6,128 / 276,480 ( 2 % );93.93
255;223;RS_GF_256;4,594 / 6,272 ( 73 % );26 / 92 ( 28 % );2232;6,128 / 276,480 ( 2 % );94.71
255;222;RS_GF_256;4,629 / 6,272 ( 74 % );26 / 92 ( 28 % );2265;6,128 / 276,480 ( 2 % );94.0
255;221;RS_GF_256;4,827 / 6,272 ( 77 % );26 / 92 ( 28 % );2361;6,128 / 276,480 ( 2 % );92.31
255;220;RS_GF_256;4,888 / 6,272 ( 78 % );26 / 92 ( 28 % );2393;6,128 / 276,480 ( 2 % );92.55
255;219;RS_GF_256;5,040 / 6,272 ( 80 % );26 / 92 ( 28 % );2489;6,128 / 276,480 ( 2 % );92.93
255;218;RS_GF_256;5,094 / 6,272 ( 81 % );26 / 92 ( 28 % );2521;6,128 / 276,480 ( 2 % );90.13
255;217;RS_GF_256;5,292 / 6,272 ( 84 % );26 / 92 ( 28 % );2617;6,128 / 276,480 ( 2 % );95.53
255;216;RS_GF_256;5,352 / 6,272 ( 85 % );26 / 92 ( 28 % );2649;6,128 / 276,480 ( 2 % );91.9
255;215;RS_GF_256;5,576 / 6,272 ( 89 % );26 / 92 ( 28 % );2745;6,128 / 276,480 ( 2 % );88.74
255;214;RS_GF_256;5,595 / 6,272 ( 89 % );26 / 92 ( 28 % );2777;6,128 / 276,480 ( 2 % );92.85
255;213;RS_GF_256;5,852 / 6,272 ( 93 % );26 / 92 ( 28 % );2873;6,128 / 276,480 ( 2 % );90.74
255;212;RS_GF_256;5,887 / 6,272 ( 94 % );26 / 92 ( 28 % );2905;6,128 / 276,480 ( 2 % );88.38
255;211;RS_GF_256;6,009 / 6,272 ( 96 % );26 / 92 ( 28 % );3001;6,128 / 276,480 ( 2 % );87.05
255;210;RS_GF_256;6,050 / 6,272 ( 96 % );26 / 92 ( 28 % );3033;6,128 / 276,480 ( 2 % );85.14
255;209;RS_GF_256;6,180 / 6,272 ( 99 % );26 / 92 ( 28 % );3129;6,128 / 276,480 ( 2 % );85.08
255;208;RS_GF_256;6,200 / 6,272 ( 99 % );26 / 92 ( 28 % );3161;6,128 / 276,480 ( 2 % );82.82
