tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable
ASAP7,1e-12,1e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683794e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,9.999999999999999e-27,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-26,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-25,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683796e-25,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-24,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683795e-24,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683793e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,9.999999999999999e-23,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683793e-22,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-21,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683792e-21,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1.0000000000000001e-20,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-20,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.1622776601683796e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,9.999999999999999e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-18,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,3.162277660168379e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-12,1e-16,514,1,0.9961089494163424,0.026732630518230216,4.565237077255208e-13
ASAP7,1e-12,3.1622776601683793e-16,514,1,0.9961089494163424,0.0267326305195344,1.3695711231753085e-12
ASAP7,1e-12,1e-15,514,1,0.9961089494163424,0.026732630523446946,4.1087133695147195e-12
ASAP7,1e-12,3.1622776601683794e-15,514,1,0.9961089494163424,0.026732630535836674,1.2782663816157341e-11
ASAP7,1e-12,1e-14,514,1,0.9961089494163424,0.02673263057626632,4.1087133693630606e-11
ASAP7,1e-12,3.1622776601683796e-14,514,1,0.9961089494163424,0.02673263070342407,1.3010925668493746e-10
ASAP7,1e-12,1e-13,514,1,0.9961089494163424,0.02673263110511214,4.113278604920208e-10
ASAP7,1e-12,3.162277660168379e-13,514,1,0.9961089494163424,0.026732632374733365,1.3001795179156966e-09
ASAP7,1e-12,1e-12,514,1,0.9961089494163424,0.02673263639096197,4.111909018610728e-09
ASAP7,1e-12,3.162277660168379e-12,514,1,0.9961089494163424,0.02673264909108658,1.3003164598398597e-08
ASAP7,1e-12,1e-11,514,1,0.9961089494163424,0.026732689252718607,4.112000171470681e-08
ASAP7,1e-12,3.162277660168379e-11,514,1,0.9961089494163424,0.026732816254597225,1.3003300036695409e-07
ASAP7,1e-12,9.999999999999999e-11,514,1,0.9961089494163424,0.026733217868765997,4.111998652662457e-07
ASAP7,1e-12,3.162277660168379e-10,514,1,0.9961089494163424,0.0267344878829913,1.300326658768476e-06
ASAP7,1e-12,9.999999999999999e-10,514,1,0.9961089494163424,0.02673850400711037,4.111983008090988e-06
ASAP7,1e-12,3.162277660168379e-09,514,1,0.9961089494163424,0.0267512039577832,1.3003116819355275e-05
ASAP7,1e-12,1e-08,516,2,0.9922480620155039,0.049011378732747364,4.127914840727307e-05
ASAP7,1e-12,3.162277660168379e-08,516,2,0.9922480620155039,0.04914268275636517,0.00013053030377070072
ASAP7,1e-12,1e-07,516,2,0.9922480620155039,0.04955782541804079,0.0004127148185655114
ASAP7,1e-12,3.162277660168379e-07,518,3,0.9884169884169884,0.07171494141933644,0.0013095898071499858
ASAP7,1e-12,1e-06,518,3,0.9884169884169884,0.07596721450682475,0.004135427531805401
ASAP7,1e-12,3.162277660168379e-06,520,4,0.9846153846153847,0.11269729858896915,0.013068945774205334
ASAP7,1e-12,9.999999999999999e-06,522,5,0.9808429118773946,0.18089665106991565,0.04090026331678585
ASAP7,1e-12,3.1622776601683795e-05,524,6,0.9770992366412213,0.34801893596125905,0.12415380103598665
ASAP7,1e-12,9.999999999999999e-05,530,9,0.9660377358490566,0.8267463625337059,0.3455899926228215
ASAP7,1e-12,0.00031622776601683794,540,14,0.9481481481481482,1.8232106170802296,0.7449562027539393
ASAP7,1e-12,0.001,560,24,0.9142857142857143,3.005049189152082,0.988691962166618
