tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-15,3.1622776601683793e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,9.999999999999999e-23,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683793e-22,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-21,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683792e-21,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1.0000000000000001e-20,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-20,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683796e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,9.999999999999999e-19,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-18,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-17,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-17,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-16,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683793e-16,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-15,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683794e-15,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-14,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.1622776601683796e-14,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-13,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-13,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-12,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-12,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,1e-11,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-11,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,9.999999999999999e-11,514.0,0.9961089494163424,1.55,8413.665798,0.008413665798,2.57060374042927,0.003273031026009083
ASAP7,1e-15,3.162277660168379e-10,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
